,year,state,county,candidate,party,candidatevotes
41357,2016,Alaska,District 36,Donald Trump,REP,4460.0
41358,2016,Alaska,District 36,Other,,1111.0
41359,2016,Alaska,District 37,Hillary Clinton,DEM,2421.0
41360,2016,Alaska,District 37,Donald Trump,REP,1938.0
41361,2016,Alaska,District 37,Other,,703.0
41362,2016,Alaska,District 38,Hillary Clinton,DEM,2758.0
41363,2016,Alaska,District 38,Donald Trump,REP,1143.0
41364,2016,Alaska,District 38,Other,,1194.0
41365,2016,Alaska,District 39,Hillary Clinton,DEM,3142.0
41366,2016,Alaska,District 39,Donald Trump,REP,1405.0
41367,2016,Alaska,District 39,Other,,1092.0
41368,2016,Alaska,District 40,Hillary Clinton,DEM,2338.0
41369,2016,Alaska,District 40,Donald Trump,REP,1377.0
41370,2016,Alaska,District 40,Other,,895.0
41371,2016,Arizona,Apache,Hillary Clinton,DEM,17083.0
41372,2016,Arizona,Apache,Donald Trump,REP,8240.0
41373,2016,Arizona,Apache,Other,,2338.0
41374,2016,Arizona,Cochise,Hillary Clinton,DEM,17450.0
41375,2016,Arizona,Cochise,Donald Trump,REP,28092.0
41376,2016,Arizona,Cochise,Other,,4473.0
41377,2016,Arizona,Coconino,Hillary Clinton,DEM,32404.0
41378,2016,Arizona,Coconino,Donald Trump,REP,21108.0
41379,2016,Arizona,Coconino,Other,,6272.0
41380,2016,Arizona,Gila,Hillary Clinton,DEM,7003.0
41381,2016,Arizona,Gila,Donald Trump,REP,14182.0
41382,2016,Arizona,Gila,Other,,1127.0
41383,2016,Arizona,Graham,Hillary Clinton,DEM,3301.0
41384,2016,Arizona,Graham,Donald Trump,REP,8025.0
41385,2016,Arizona,Graham,Other,,808.0
41386,2016,Arizona,Greenlee,Hillary Clinton,DEM,1092.0
41387,2016,Arizona,Greenlee,Donald Trump,REP,1892.0
41388,2016,Arizona,Greenlee,Other,,286.0
41389,2016,Arizona,La Paz,Hillary Clinton,DEM,1575.0
41390,2016,Arizona,La Paz,Donald Trump,REP,4003.0
41391,2016,Arizona,La Paz,Other,,373.0
41392,2016,Arizona,Maricopa,Hillary Clinton,DEM,702907.0
41393,2016,Arizona,Maricopa,Donald Trump,REP,747361.0
41394,2016,Arizona,Maricopa,Other,,117566.0
41395,2016,Arizona,Mohave,Hillary Clinton,DEM,17455.0
41396,2016,Arizona,Mohave,Donald Trump,REP,58282.0
41397,2016,Arizona,Mohave,Other,,4206.0
41398,2016,Arizona,Navajo,Hillary Clinton,DEM,16459.0
41399,2016,Arizona,Navajo,Donald Trump,REP,20577.0
41400,2016,Arizona,Navajo,Other,,3258.0
41401,2016,Arizona,Pima,Hillary Clinton,DEM,224661.0
41402,2016,Arizona,Pima,Donald Trump,REP,167428.0
41403,2016,Arizona,Pima,Other,,29551.0
41404,2016,Arizona,Pinal,Hillary Clinton,DEM,47892.0
41405,2016,Arizona,Pinal,Donald Trump,REP,72819.0
41406,2016,Arizona,Pinal,Other,,8835.0
41407,2016,Arizona,Santa Cruz,Hillary Clinton,DEM,11690.0
41408,2016,Arizona,Santa Cruz,Donald Trump,REP,3897.0
41409,2016,Arizona,Santa Cruz,Other,,846.0
41410,2016,Arizona,Yavapai,Hillary Clinton,DEM,35590.0
41411,2016,Arizona,Yavapai,Donald Trump,REP,71330.0
41412,2016,Arizona,Yavapai,Other,,7530.0
41413,2016,Arizona,Yuma,Hillary Clinton,DEM,24605.0
41414,2016,Arizona,Yuma,Donald Trump,REP,25165.0
41415,2016,Arizona,Yuma,Other,,3240.0
41416,2016,Arkansas,Arkansas,Hillary Clinton,DEM,1939.0
41417,2016,Arkansas,Arkansas,Donald Trump,REP,3826.0
41418,2016,Arkansas,Arkansas,Other,,447.0
41419,2016,Arkansas,Ashley,Hillary Clinton,DEM,2408.0
41420,2016,Arkansas,Ashley,Donald Trump,REP,5338.0
41421,2016,Arkansas,Ashley,Other,,337.0
41422,2016,Arkansas,Baxter,Hillary Clinton,DEM,4169.0
41423,2016,Arkansas,Baxter,Donald Trump,REP,14682.0
41424,2016,Arkansas,Baxter,Other,,915.0
41425,2016,Arkansas,Benton,Hillary Clinton,DEM,28005.0
41426,2016,Arkansas,Benton,Donald Trump,REP,60871.0
41427,2016,Arkansas,Benton,Other,,7948.0
41428,2016,Arkansas,Boone,Hillary Clinton,DEM,2926.0
41429,2016,Arkansas,Boone,Donald Trump,REP,12235.0
41430,2016,Arkansas,Boone,Other,,950.0
41431,2016,Arkansas,Bradley,Hillary Clinton,DEM,1317.0
41432,2016,Arkansas,Bradley,Donald Trump,REP,2164.0
41433,2016,Arkansas,Bradley,Other,,172.0
41434,2016,Arkansas,Calhoun,Hillary Clinton,DEM,639.0
41435,2016,Arkansas,Calhoun,Donald Trump,REP,1556.0
41436,2016,Arkansas,Calhoun,Other,,74.0
41437,2016,Arkansas,Carroll,Hillary Clinton,DEM,3342.0
41438,2016,Arkansas,Carroll,Donald Trump,REP,6786.0
41439,2016,Arkansas,Carroll,Other,,630.0
