state,county,candidate,party,total_votes,won
Florida,Flagler County,Rocky De La Fuente,ALI,30,FALSE
Florida,Flagler County,Gloria La Riva,PSL,29,FALSE
Florida,Flagler County,Don Blankenship,CST,20,FALSE
Florida,Flagler County, Write-ins,WRI,5,FALSE
Florida,Franklin County,Donald Trump,REP,4675,TRUE
Florida,Franklin County,Joe Biden,DEM,2120,FALSE
Florida,Franklin County,Jo Jorgensen,LIB,27,FALSE
Florida,Franklin County,Howie Hawkins,GRN,12,FALSE
Florida,Franklin County,Gloria La Riva,PSL,8,FALSE
Florida,Franklin County,Rocky De La Fuente,ALI,4,FALSE
Florida,Franklin County,Don Blankenship,CST,3,FALSE
Florida,Gadsden County,Joe Biden,DEM,16153,TRUE
Florida,Gadsden County,Donald Trump,REP,7465,FALSE
Florida,Gadsden County,Jo Jorgensen,LIB,96,FALSE
Florida,Gadsden County,Howie Hawkins,GRN,21,FALSE
Florida,Gadsden County,Gloria La Riva,PSL,10,FALSE
Florida,Gadsden County,Don Blankenship,CST,9,FALSE
Florida,Gadsden County,Rocky De La Fuente,ALI,8,FALSE
Florida,Gilchrist County,Donald Trump,REP,7895,TRUE
Florida,Gilchrist County,Joe Biden,DEM,1700,FALSE
Florida,Gilchrist County,Jo Jorgensen,LIB,61,FALSE
Florida,Gilchrist County,Howie Hawkins,GRN,13,FALSE
Florida,Gilchrist County,Rocky De La Fuente,ALI,6,FALSE
Florida,Gilchrist County,Don Blankenship,CST,5,FALSE
Florida,Gilchrist County, Write-ins,WRI,3,FALSE
Florida,Gilchrist County,Gloria La Riva,PSL,2,FALSE
Florida,Glades County,Donald Trump,REP,3782,TRUE
Florida,Glades County,Joe Biden,DEM,1385,FALSE
Florida,Glades County,Jo Jorgensen,LIB,21,FALSE
Florida,Glades County,Howie Hawkins,GRN,4,FALSE
Florida,Glades County,Gloria La Riva,PSL,1,FALSE
Florida,Glades County,Don Blankenship,CST,0,FALSE
Florida,Glades County,Rocky De La Fuente,ALI,0,FALSE
Florida,Gulf County,Donald Trump,REP,6113,TRUE
Florida,Gulf County,Joe Biden,DEM,1985,FALSE
Florida,Gulf County,Jo Jorgensen,LIB,48,FALSE
Florida,Gulf County,Don Blankenship,CST,6,FALSE
Florida,Gulf County,Rocky De La Fuente,ALI,6,FALSE
Florida,Gulf County,Howie Hawkins,GRN,5,FALSE
Florida,Gulf County,Gloria La Riva,PSL,0,FALSE
Florida,Gulf County, Write-ins,WRI,0,FALSE
Florida,Hamilton County,Donald Trump,REP,3815,TRUE
Florida,Hamilton County,Joe Biden,DEM,1963,FALSE
Florida,Hamilton County,Jo Jorgensen,LIB,33,FALSE
Florida,Hamilton County,Howie Hawkins,GRN,8,FALSE
Florida,Hamilton County,Rocky De La Fuente,ALI,6,FALSE
Florida,Hamilton County,Don Blankenship,CST,2,FALSE
Florida,Hamilton County,Gloria La Riva,PSL,2,FALSE
Florida,Hamilton County, Write-ins,WRI,1,FALSE
Florida,Hardee County,Donald Trump,REP,6122,TRUE
Florida,Hardee County,Joe Biden,DEM,2298,FALSE
Florida,Hardee County,Jo Jorgensen,LIB,40,FALSE
Florida,Hardee County,Rocky De La Fuente,ALI,10,FALSE
Florida,Hardee County,Howie Hawkins,GRN,8,FALSE
Florida,Hardee County,Gloria La Riva,PSL,6,FALSE
Florida,Hardee County,Don Blankenship,CST,1,FALSE
Florida,Hendry County,Donald Trump,REP,7906,TRUE
Florida,Hendry County,Joe Biden,DEM,4929,FALSE
Florida,Hendry County,Jo Jorgensen,LIB,65,FALSE
Florida,Hendry County,Howie Hawkins,GRN,13,FALSE
Florida,Hendry County,Rocky De La Fuente,ALI,11,FALSE
Florida,Hendry County,Gloria La Riva,PSL,8,FALSE
Florida,Hendry County,Don Blankenship,CST,7,FALSE
Florida,Hendry County, Write-ins,WRI,1,FALSE
Florida,Hernando County,Donald Trump,REP,70321,TRUE
Florida,Hernando County,Joe Biden,DEM,37446,FALSE
Florida,Hernando County,Jo Jorgensen,LIB,685,FALSE
Florida,Hernando County,Don Blankenship,CST,235,FALSE
Florida,Hernando County,Howie Hawkins,GRN,148,FALSE
Florida,Hernando County,Rocky De La Fuente,ALI,62,FALSE
Florida,Hernando County,Gloria La Riva,PSL,44,FALSE
Florida,Hernando County, Write-ins,WRI,0,FALSE
Florida,Highlands County,Donald Trump,REP,34873,TRUE
Florida,Highlands County,Joe Biden,DEM,16938,FALSE
Florida,Highlands County,Jo Jorgensen,LIB,223,FALSE
Florida,Highlands County,Howie Hawkins,GRN,53,FALSE
Florida,Highlands County,Don Blankenship,CST,28,FALSE
Florida,Highlands County,Rocky De La Fuente,ALI,28,FALSE
Florida,Highlands County,Gloria La Riva,PSL,24,FALSE
Florida,Hillsborough County,Joe Biden,DEM,376367,TRUE
Florida,Hillsborough County,Donald Trump,REP,327398,FALSE
Florida,Hillsborough County,Jo Jorgensen,LIB,5665,FALSE
Florida,Hillsborough County,Howie Hawkins,GRN,1187,FALSE
Florida,Hillsborough County,Rocky De La Fuente,ALI,574,FALSE
Florida,Hillsborough County,Gloria La Riva,PSL,529,FALSE
Florida,Hillsborough County,Don Blankenship,CST,270,FALSE
Florida,Holmes County,Donald Trump,REP,8080,TRUE
Florida,Holmes County,Joe Biden,DEM,924,FALSE
Florida,Holmes County,Jo Jorgensen,LIB,48,FALSE
Florida,Holmes County,Howie Hawkins,GRN,9,FALSE
Florida,Holmes County,Don Blankenship,CST,4,FALSE
Florida,Holmes County,Rocky De La Fuente,ALI,2,FALSE
Florida,Holmes County,Gloria La Riva,PSL,1,FALSE
Florida,Indian River County,Donald Trump,REP,58872,TRUE
Florida,Indian River County,Joe Biden,DEM,37844,FALSE
Florida,Indian River County,Jo Jorgensen,LIB,534,FALSE
Florida,Indian River County,Howie Hawkins,GRN,117,FALSE
Florida,Indian River County,Rocky De La Fuente,ALI,43,FALSE
Florida,Indian River County,Don Blankenship,CST,38,FALSE
Florida,Indian River County,Gloria La Riva,PSL,33,FALSE
Florida,Indian River County, Write-ins,WRI,3,FALSE
Florida,Jackson County,Donald Trump,REP,15488,TRUE
Florida,Jackson County,Joe Biden,DEM,6766,FALSE
Florida,Jackson County,Jo Jorgensen,LIB,116,FALSE
Florida,Jackson County,Rocky De La Fuente,ALI,13,FALSE
Florida,Jackson County,Howie Hawkins,GRN,13,FALSE
Florida,Jackson County,Gloria La Riva,PSL,13,FALSE
Florida,Jackson County,Don Blankenship,CST,5,FALSE
Florida,Jackson County, Write-ins,WRI,5,FALSE
Florida,Jefferson County,Donald Trump,REP,4479,TRUE
Florida,Jefferson County,Joe Biden,DEM,3897,FALSE
Florida,Jefferson County,Jo Jorgensen,LIB,46,FALSE
Florida,Jefferson County,Howie Hawkins,GRN,13,FALSE
Florida,Jefferson County,Don Blankenship,CST,5,FALSE
Florida,Jefferson County,Rocky De La Fuente,ALI,4,FALSE
Florida,Jefferson County,Gloria La Riva,PSL,4,FALSE
Florida,Jefferson County, Write-ins,WRI,3,FALSE
Florida,Lafayette County,Donald Trump,REP,3128,TRUE
Florida,Lafayette County,Joe Biden,DEM,510,FALSE
Florida,Lafayette County,Jo Jorgensen,LIB,14,FALSE
Florida,Lafayette County,Don Blankenship,CST,2,FALSE
Florida,Lafayette County,Howie Hawkins,GRN,2,FALSE
Florida,Lafayette County,Rocky De La Fuente,ALI,1,FALSE
Florida,Lafayette County,Gloria La Riva,PSL,1,FALSE
Florida,Lake County,Donald Trump,REP,125859,TRUE
Florida,Lake County,Joe Biden,DEM,83505,FALSE
Florida,Lake County,Jo Jorgensen,LIB,1385,FALSE
Florida,Lake County,Howie Hawkins,GRN,254,FALSE
Florida,Lake County,Rocky De La Fuente,ALI,120,FALSE
Florida,Lake County,Gloria La Riva,PSL,96,FALSE
Florida,Lake County,Don Blankenship,CST,79,FALSE
Florida,Lake County, Write-ins,WRI,16,FALSE
Florida,Lee County,Donald Trump,REP,233247,TRUE
Florida,Lee County,Joe Biden,DEM,157695,FALSE
Florida,Lee County,Jo Jorgensen,LIB,2016,FALSE
Florida,Lee County,Howie Hawkins,GRN,440,FALSE
Florida,Lee County,Rocky De La Fuente,ALI,187,FALSE
Florida,Lee County,Gloria La Riva,PSL,176,FALSE
Florida,Lee County,Don Blankenship,CST,121,FALSE
Florida,Leon County,Joe Biden,DEM,103517,TRUE
Florida,Leon County,Donald Trump,REP,57453,FALSE
Florida,Leon County,Jo Jorgensen,LIB,1344,FALSE
Florida,Leon County,Howie Hawkins,GRN,271,FALSE
Florida,Leon County,Gloria La Riva,PSL,122,FALSE
Florida,Leon County,Rocky De La Fuente,ALI,98,FALSE
Florida,Leon County,Don Blankenship,CST,71,FALSE
Florida,Leon County, Write-ins,WRI,53,FALSE
Florida,Levy County,Donald Trump,REP,16749,TRUE
Florida,Levy County,Joe Biden,DEM,6205,FALSE
Florida,Levy County,Jo Jorgensen,LIB,131,FALSE
Florida,Levy County,Howie Hawkins,GRN,25,FALSE
Florida,Levy County,Rocky De La Fuente,ALI,14,FALSE
Florida,Levy County,Don Blankenship,CST,13,FALSE
Florida,Levy County,Gloria La Riva,PSL,7,FALSE
Florida,Levy County, Write-ins,WRI,1,FALSE
Florida,Liberty County,Donald Trump,REP,2846,TRUE
Florida,Liberty County,Joe Biden,DEM,694,FALSE
Florida,Liberty County,Jo Jorgensen,LIB,14,FALSE
Florida,Liberty County,Rocky De La Fuente,ALI,2,FALSE
Florida,Liberty County,Howie Hawkins,GRN,2,FALSE
Florida,Liberty County,Gloria La Riva,PSL,2,FALSE
Florida,Liberty County,Don Blankenship,CST,1,FALSE
Florida,Madison County,Donald Trump,REP,5576,TRUE
Florida,Madison County,Joe Biden,DEM,3747,FALSE
Florida,Madison County,Jo Jorgensen,LIB,32,FALSE
Florida,Madison County,Howie Hawkins,GRN,13,FALSE
Florida,Madison County,Don Blankenship,CST,5,FALSE
Florida,Madison County,Gloria La Riva,PSL,4,FALSE
Florida,Madison County,Rocky De La Fuente,ALI,3,FALSE
Florida,Madison County, Write-ins,WRI,0,FALSE
Florida,Manatee County,Donald Trump,REP,124987,TRUE
Florida,Manatee County,Joe Biden,DEM,90166,FALSE
Florida,Manatee County,Jo Jorgensen,LIB,1287,FALSE
Florida,Manatee County,Howie Hawkins,GRN,258,FALSE
Florida,Manatee County,Rocky De La Fuente,ALI,96,FALSE
Florida,Manatee County,Gloria La Riva,PSL,78,FALSE
Florida,Manatee County,Don Blankenship,CST,69,FALSE
Florida,Marion County,Donald Trump,REP,127826,TRUE
Florida,Marion County,Joe Biden,DEM,74858,FALSE
Florida,Marion County,Jo Jorgensen,LIB,1180,FALSE
Florida,Marion County,Howie Hawkins,GRN,228,FALSE
Florida,Marion County,Gloria La Riva,PSL,98,FALSE
Florida,Marion County,Rocky De La Fuente,ALI,91,FALSE
Florida,Marion County,Don Blankenship,CST,80,FALSE
Florida,Marion County, Write-ins,WRI,15,FALSE
Florida,Martin County,Donald Trump,REP,61168,TRUE
Florida,Martin County,Joe Biden,DEM,36893,FALSE
Florida,Martin County,Jo Jorgensen,LIB,448,FALSE
Florida,Martin County,Howie Hawkins,GRN,105,FALSE
Florida,Martin County,Rocky De La Fuente,ALI,38,FALSE
Florida,Martin County,Don Blankenship,CST,37,FALSE
Florida,Martin County,Gloria La Riva,PSL,35,FALSE
Florida,Martin County, Write-ins,WRI,2,FALSE
Florida,Miami-Dade County,Joe Biden,DEM,617864,TRUE
Florida,Miami-Dade County,Donald Trump,REP,532833,FALSE
Florida,Miami-Dade County,Jo Jorgensen,LIB,3329,FALSE
Florida,Miami-Dade County,Howie Hawkins,GRN,1289,FALSE
Florida,Miami-Dade County,Rocky De La Fuente,ALI,602,FALSE
Florida,Miami-Dade County,Gloria La Riva,PSL,579,FALSE
Florida,Miami-Dade County,Don Blankenship,CST,293,FALSE
Florida,Miami-Dade County, Write-ins,WRI,27,FALSE
Florida,Monroe County,Donald Trump,REP,25693,TRUE
Florida,Monroe County,Joe Biden,DEM,21881,FALSE
Florida,Monroe County,Jo Jorgensen,LIB,348,FALSE
Florida,Monroe County,Howie Hawkins,GRN,51,FALSE
Florida,Monroe County,Rocky De La Fuente,ALI,26,FALSE
Florida,Monroe County,Gloria La Riva,PSL,14,FALSE
Florida,Monroe County,Don Blankenship,CST,12,FALSE
Florida,Monroe County, Write-ins,WRI,4,FALSE
Florida,Nassau County,Donald Trump,REP,42566,TRUE
Florida,Nassau County,Joe Biden,DEM,15564,FALSE
Florida,Nassau County,Jo Jorgensen,LIB,569,FALSE
Florida,Nassau County,Howie Hawkins,GRN,43,FALSE
Florida,Nassau County,Rocky De La Fuente,ALI,28,FALSE
Florida,Nassau County,Don Blankenship,CST,24,FALSE
Florida,Nassau County,Gloria La Riva,PSL,12,FALSE
Florida,Nassau County, Write-ins,WRI,5,FALSE
Florida,Okaloosa County,Donald Trump,REP,79798,TRUE
Florida,Okaloosa County,Joe Biden,DEM,34248,FALSE
Florida,Okaloosa County,Jo Jorgensen,LIB,1881,FALSE
Florida,Okaloosa County,Howie Hawkins,GRN,183,FALSE
Florida,Okaloosa County,Don Blankenship,CST,79,FALSE
Florida,Okaloosa County,Rocky De La Fuente,ALI,76,FALSE
Florida,Okaloosa County,Gloria La Riva,PSL,73,FALSE
Florida,Okaloosa County, Write-ins,WRI,35,FALSE
Florida,Okeechobee County,Donald Trump,REP,11470,TRUE
Florida,Okeechobee County,Joe Biden,DEM,4390,FALSE
Florida,Okeechobee County,Jo Jorgensen,LIB,66,FALSE
Florida,Okeechobee County,Don Blankenship,CST,8,FALSE
Florida,Okeechobee County,Rocky De La Fuente,ALI,8,FALSE
Florida,Okeechobee County,Howie Hawkins,GRN,7,FALSE
Florida,Okeechobee County,Gloria La Riva,PSL,4,FALSE
Florida,Okeechobee County, Write-ins,WRI,1,FALSE
Florida,Orange County,Joe Biden,DEM,395014,TRUE
Florida,Orange County,Donald Trump,REP,245398,FALSE
Florida,Orange County,Jo Jorgensen,LIB,4685,FALSE
Florida,Orange County,Howie Hawkins,GRN,1146,FALSE
Florida,Orange County,Gloria La Riva,PSL,444,FALSE
Florida,Orange County,Rocky De La Fuente,ALI,386,FALSE
Florida,Orange County,Don Blankenship,CST,223,FALSE
Florida,Osceola County,Joe Biden,DEM,97297,TRUE
Florida,Osceola County,Donald Trump,REP,73480,FALSE
Florida,Osceola County,Jo Jorgensen,LIB,964,FALSE
Florida,Osceola County,Howie Hawkins,GRN,290,FALSE
Florida,Osceola County,Rocky De La Fuente,ALI,166,FALSE
Florida,Osceola County,Gloria La Riva,PSL,140,FALSE
Florida,Osceola County,Don Blankenship,CST,70,FALSE
Florida,Palm Beach County,Joe Biden,DEM,433572,TRUE
Florida,Palm Beach County,Donald Trump,REP,334711,FALSE
Florida,Palm Beach County,Jo Jorgensen,LIB,3040,FALSE
Florida,Palm Beach County,Howie Hawkins,GRN,891,FALSE
Florida,Palm Beach County,Rocky De La Fuente,ALI,356,FALSE
Florida,Palm Beach County,Gloria La Riva,PSL,335,FALSE
Florida,Palm Beach County,Don Blankenship,CST,188,FALSE
Florida,Pasco County,Donald Trump,REP,179621,TRUE
Florida,Pasco County,Joe Biden,DEM,119073,FALSE
Florida,Pasco County,Jo Jorgensen,LIB,2265,FALSE
Florida,Pasco County,Howie Hawkins,GRN,467,FALSE
Florida,Pasco County,Rocky De La Fuente,ALI,200,FALSE
Florida,Pasco County,Gloria La Riva,PSL,169,FALSE
Florida,Pasco County,Don Blankenship,CST,142,FALSE
Florida,Pasco County, Write-ins,WRI,33,FALSE
Florida,Pinellas County,Joe Biden,DEM,277450,TRUE
Florida,Pinellas County,Donald Trump,REP,276209,FALSE
Florida,Pinellas County,Jo Jorgensen,LIB,4268,FALSE
Florida,Pinellas County,Howie Hawkins,GRN,912,FALSE
Florida,Pinellas County,Gloria La Riva,PSL,311,FALSE
