year,candidate_ID,candidate_votes,total_votes,county_state_ID
2016,c1,5305.0,6525,297
2016,c2,3973.0,12858,298
2016,c1,7853.0,12858,298
2016,c2,5466.0,21186,299
2016,c1,14382.0,21186,299
2016,c2,3151.0,11960,300
2016,c1,8145.0,11960,300
2016,c2,2943.0,8452,301
2016,c1,4928.0,8452,301
2016,c2,1697.0,3310,302
2016,c1,1351.0,3310,302
2016,c2,3421.0,10417,303
2016,c1,6135.0,10417,303
2016,c2,436.0,2332,304
2016,c1,1791.0,2332,304
2016,c2,7333.0,10523,305
2016,c1,2550.0,10523,305
2016,c2,1186.0,5016,306
2016,c1,3531.0,5016,306
2016,c2,35875.0,78646,307
2016,c1,36265.0,78646,307
2016,c2,436.0,3450,308
2016,c1,2791.0,3450,308
2016,c2,2001.0,5534,309
2016,c1,3085.0,5534,309
2016,c2,7600.0,13986,310
2016,c1,5230.0,13986,310
2016,c2,1417.0,2835,311
2016,c1,1147.0,2835,311
2016,c2,265.0,506,312
2016,c1,215.0,506,312
2016,c2,2975.0,4329,313
2016,c1,1033.0,4329,313
2016,c2,267.0,1364,314
2016,c1,1015.0,1364,314
2016,c2,9557.0,16174,315
2016,c1,5100.0,16174,315
2016,c2,3603.0,14444,316
2016,c1,9745.0,14444,316
2016,c2,296.0,2733,317
2016,c1,2299.0,2733,317
2016,c2,46519.0,135428,318
2016,c1,76651.0,135428,318
2016,c2,726.0,4791,319
2016,c1,3850.0,4791,319
2016,c2,243852.0,421209,320
2016,c1,160077.0,421209,320
2016,c2,240403.0,406864,321
2016,c1,148173.0,406864,321
2016,c2,39775.0,97442,322
2016,c1,53051.0,97442,322
2016,c2,45357.0,88624,323
2016,c1,38867.0,88624,323
2016,c2,205609.0,379006,324
2016,c1,159048.0,379006,324
2016,c2,62278.0,123528,325
2016,c1,54058.0,123528,325
2016,c2,38506.0,77424,326
2016,c1,34194.0,77424,326
2016,c2,21792.0,50823,327
2016,c1,25747.0,50823,327
2016,c2,33351.0,74598,328
2016,c1,36991.0,74598,328
2016,c2,162919.0,262391,329
2016,c1,85525.0,262391,329
2016,c2,39333.0,106008,330
2016,c1,62611.0,106008,330
2016,c2,282830.0,311268,331
2016,c1,12723.0,311268,331
2016,c2,75820.0,128571,332
2016,c1,46834.0,128571,332
2016,c2,2112.0,12634,333
2016,c1,10294.0,12634,333
2016,c2,21797.0,87453,334
2016,c1,62194.0,87453,334
2016,c2,2924.0,12098,335
2016,c1,8913.0,12098,335
2016,c2,119679.0,314752,336
2016,c1,181848.0,314752,336
2016,c2,553320.0,831951,337
2016,c1,260951.0,831951,337
2016,c2,1241.0,6081,338
